Phylum,Class,Order,Family,目,科,Notes
Chordata, Actinopterygii,Pleuronectiformes,Cynoglossidae,カレイ目,ウシノシタ科,OK
Chordata, Actinopterygii,Pleuronectiformes,Paralichthyidae,カレイ目,ヒラメ科,OK
Chordata, Actinopterygii,Pleuronectiformes,Pleuronectidae,カレイ目,カレイ科,OK
Chordata, Actinopterygii,Salmoniformes,Salmonidae,サケ目,サケ科,OK
Chordata, Actinopterygii,Scorpaeniformes,Anoplopomatidae,カサゴ目,ギンダラ科,OK
Chordata, Actinopterygii,Scorpaeniformes,Hemitripteridae,カサゴ目,ケムシカジカ科,OK
Chordata, Actinopterygii,Scorpaeniformes,Hexagrammidae,カサゴ目,アイナメ科,OK
Chordata, Actinopterygii,Scorpaeniformes,Platycephalidae,カサゴ目,コチ科,OK
Chordata, Actinopterygii,Scorpaeniformes,Sebastidae,カサゴ目,メバル科,OK
Chordata, Actinopterygii,Scorpaeniformes,Sebastolobidae,カサゴ目,メバル科,Check
Chordata, Actinopterygii,Scorpaeniformes,Synanceiidae,カサゴ目,オニオコゼ科,OK
Chordata, Actinopterygii,Scorpaeniformes,Triglidae,カサゴ目,ホウボウ科,OK
Chordata, Actinopterygii,Syngnathiformes,Fistulariidae,ヨウジウオ目,ヤガラ科,OK
Chordata, Actinopterygii,Tetraodontiformes,Monacanthidae,フグ目,カワハギ科,OK
Chordata, Actinopterygii,Tetraodontiformes,Tetraodontidae,フグ目,フグ科,OK
Chordata, Actinopterygii,Zeiformes,Zeidae,マトウダイ目,マトウダイ科,OK
Chordata, Chondrichthyes,Carcharhiniformes,Carcharhinidae,メジロザメ目,メジロザメ科,Check
Chordata, Chondrichthyes,Lamniformes,Alopiidae,ネズミザメ目,ウバザメ科,Check
Chordata, Chondrichthyes,Lamniformes,Cetorhinidae,ネズミザメ目,ウバザメ科,Check
Chordata, Chondrichthyes,Lamniformes,Lamnidae,ネズミザメ目,ネズミザメ科,Check
Chordata, Chondrichthyes,Lamniformes,Pseudocarchariidae,ネズミザメ目,ミズワニ科,Check
Chordata, Chondrichthyes,Squaliformes,Squalidae,ツノザメ目,ツノザメ科,Check
Chordata, Chondrichthyes,Orectolobiformes,Rhincodontidae,テンジクザメ目,ジンベエザメ科,Check
Chordata, Mammalia,Carnivora,Otariidae,食肉目,アシカ科,Check
Chordata, Mammalia,Cetartiodactyla,Balaenopteridae,鯨偶蹄目,ナガスクジラ科,Check
Chordata, Mammalia,Cetartiodactyla,Delphinidae,鯨偶蹄目,マイルカ科,Check
Chordata, Mammalia,Cetartiodactyla,Phocoenidae,鯨偶蹄目,ネズミイルカ科,Check
Chordata, Mammalia,Cetartiodactyla,Ziphiidae,鯨偶蹄目,アカボウクジラ科,Check
Arthropoda, Malacostraca,Euphausiacea,Euphausiidae,オキアミ目,オキアミ科,Check
Arthropoda, Malacostraca,Decapoda,Geryonidae,十脚目,オオエンコウガニ科,Check
Mollusca, Cephalopoda,Teuthoidea,Ommastrephidae,ツツイカ目,アカイカ科,Check
Echinodermata, Echinoidea, Camarodonta, Echinometridae,拱歯目,ナガウニ科,Check
Echinodermata, Echinoidea, Camarodonta, Strongylocentrotidae,拱歯目,オオバフンウニ科,Check
Echinodermata, Echinoidea, Camarodonta, Toxopneustidae,拱歯目,ラッパウニ科,Check
Ochrophyta, Phaeophyceae, Laminariales, Laminariaceae,コンブ目,ネコアシコンブ科,Check
