Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References,References
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia magna,Water flea,0.53,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia magniceps,Water flea,0.30,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia nivalis,Water flea,0.46,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia projecta,Water flea,0.24,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia salina,Water flea,0.40,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia similis,Water flea,0.44,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Ctenodaphnia thomsoni,Water flea,0.21,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia ambigua,Water flea,0.24,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia arenata,Water flea,0.24,,FCM,WB,GD,"Vergilino, R., C. Belzile, and F. Dufresne (2009). Genome size evolution and polyploidy in the Daphnia pulex complex (Cladocera: Daphniidae). Biological Journal of the Linnean Society 97: 68-79.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia arenata,Water flea,0.42,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia catawba,Water flea,0.39,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia lacustris,Water flea,0.37,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia magna,Water flea,0.30,,FCM,WB,GD,"Jalal, M., M.W. Wojewodzic, C.M.M. Laane, and D.O. Hessen (2013). Larger Daphnia at lower temperature: a role for cell size and genome size?. Genome 56: 511-519.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia melanica,Water flea,0.48,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia minnihaha,Water flea,0.28,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia neo-obtusa,Water flea,0.42,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia nevadensis,Water flea,0.39,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia obtusa,Water flea,0.36,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia oregonensis,Water flea,0.42,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia parvula,Water flea,0.28,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pilescens,Water flea,0.31,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulex,Water flea,0.23,,FCM,WB,GD,"Vergilino, R., C. Belzile, and F. Dufresne (2009). Genome size evolution and polyploidy in the Daphnia pulex complex (Cladocera: Daphniidae). Biological Journal of the Linnean Society 97: 68-79.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulex,Water flea,0.23,,FCM,WB,GD,"Jalal, M., M.W. Wojewodzic, C.M.M. Laane, and D.O. Hessen (2013). Larger Daphnia at lower temperature: a role for cell size and genome size?. Genome 56: 511-519.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulex,Water flea,0.24,,FD,SQ,"GD, OM","Rasch, E.M. (1985). DNA ""standards"" and the range of accurate DNA estimates by Feulgen absorption microspectrophotometry. In: Advances in Microscopy, edited by R.R. Cowden and S.H. Harrison. Alan R. Liss, New York, pp.137-166.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulex,Water flea,0.34,,FCM,WB,GD,"Korpelainen, H., M. Ketola, and J. Hietala (1997). Somatic polyploidy examined by flow cytometry in Daphnia. Journal of Plankton Research19: 2031-2040.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulex,Water flea,0.37,,FD,EXP,V,"Beaton, M.J. and P.D.N. Hebert (1989). Miniature genomes and endopolyploidy in cladoceran crustaceans. Genome 32: 1048-1053.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulicaria,Water flea,0.24,,FCM,WB,GD,"Vergilino, R., C. Belzile, and F. Dufresne (2009). Genome size evolution and polyploidy in the Daphnia pulex complex (Cladocera: Daphniidae). Biological Journal of the Linnean Society 97: 68-79.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulicaria,Water flea,0.40,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulicaria,Water flea,0.49,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia pulicaria,Water flea (European populations),0.27,,FCM,WB,GD,"Vergilino, R., C. Belzile, and F. Dufresne (2009). Genome size evolution and polyploidy in the Daphnia pulex complex (Cladocera: Daphniidae). Biological Journal of the Linnean Society 97: 68-79.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia retrocurva,Water flea,0.29,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia tenebrosa,Water flea,0.29,,FCM,WB,GD,"Vergilino, R., C. Belzile, and F. Dufresne (2009). Genome size evolution and polyploidy in the Daphnia pulex complex (Cladocera: Daphniidae). Biological Journal of the Linnean Society 97: 68-79.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia tenebrosa,Water flea,0.53,,FD,EXP,V,"Dufresne, F. and P.D.N. Hebert (1995). Polyploidy and clonal diversity in an arctic cladoceran. Heredity 75: 45-53.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphnia tenebrosa,Water flea,0.58,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Daphniopsis ephemeralis,Water flea,0.28,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia dentifera,Water flea,0.36,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia dubia,Water flea,0.35,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia laevis,Water flea,0.32,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia longiremis,Water flea,0.22,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia longispina,Water flea,0.29,,FCM,WB,GD,"Korpelainen, H., M. Ketola, and J. Hietala (1997). Somatic polyploidy examined by flow cytometry in Daphnia. Journal of Plankton Research19: 2031-2040.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia mendotae,Water flea,0.33,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Hyalodaphnia thorata,Water flea,0.36,,FD,EXP,V,"Beaton, M.J. (1995). Patterns of endopolyploidy and genome size variation in Daphnia. Ph.D. Thesis, Department of Zoology, University of Guelph, Guelph.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Scapholeberis kingii,Water flea,0.16,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Simocephalus serrulatus,Water flea,0.29,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Daphniidae,Simocephalus vetulus,Water flea,0.41,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Holopedidae,Holopedium gibberum,Water flea,0.22,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Leptodoridae,Leptodora kindtii,Water flea,0.28,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Macrothricidae,Ilyocryptus sordidus,Water flea,0.26,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Macrothricidae,Macrothrix hirsuticornis,Water flea,0.21,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Polyphemidae,Polyphemus pediculus,Water flea,0.22,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Cladocera,Sididae,Sida crystallina,Water flea,0.47,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Branchiopoda,Conchostraca,Lynceidae,Lynceus brachyurus,Clam shrimp,0.30,,FD,EXP,V,"Beaton, M.J. (1988). Genome size variation in the Cladocera. M.Sc. Thesis, Department of Biological Sciences, University of Windsor, Windsor.",,
Arthropoda,Crustacea,Cirripedia,Rhizocephala,Sacculinidae,Sacculina sp.,Parasitic barnacle,0.67,,FD,WB,NS (V),"Rheinsmith, E.L., R. Hinegardner, and K. Bachmann (1974). Nuclear DNA amounts in Crustacea. Comparative Biochemistry and Physiology 48B: 343-348.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Balanidae,Balanus amphitrite,Striped barnacle,0.74,,FD,WB,NS (V),"Rheinsmith, E.L., R. Hinegardner, and K. Bachmann (1974). Nuclear DNA amounts in Crustacea. Comparative Biochemistry and Physiology 48B: 343-348.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Balanidae,Balanus amphitrite,Striped barnacle,1.40,,FD,WB,NS (V),"Bachmann, K. and E.L. Rheinsmith (1973). Nuclear DNA amounts in Pacific Crustacea. Chromosoma 43: 225-236.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Balanidae,Balanus cariosus,Thatched barnacle,1.40,,FD,WB,NS (V),"Bachmann, K. and E.L. Rheinsmith (1973). Nuclear DNA amounts in Pacific Crustacea. Chromosoma 43: 225-236.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Balanidae,Balanus eburneus,Ivory barnacle,1.26,,FD,WB,NS (V),"Rheinsmith, E.L., R. Hinegardner, and K. Bachmann (1974). Nuclear DNA amounts in Crustacea. Comparative Biochemistry and Physiology 48B: 343-348.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Chthamalidae,Chthalamus sp.,Acorn barnacle,1.23,,FD,WB,NS (V),"Rheinsmith, E.L., R. Hinegardner, and K. Bachmann (1974). Nuclear DNA amounts in Crustacea. Comparative Biochemistry and Physiology 48B: 343-348.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Lepadidae,Unknown sp.,Goose barnacle,1.46,,FD,S,GD,"Mirsky, A.E. and H. Ris (1951). The desoxyribonucleic acid content of animal cells and its evolutionary significance. Journal of General Physiology 34: 451-462.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Pollicipedidae,Mitella polymerus,Pacific goose barnacle,0.90,,FD,WB,NS (V),"Bachmann, K. and E.L. Rheinsmith (1973). Nuclear DNA amounts in Pacific Crustacea. Chromosoma 43: 225-236.",,
Arthropoda,Crustacea,Cirripedia,Thoracica,Tetraclitidae,Tetraclita rubescens,Volcano barnacle,2.60,,FD,WB,NS (V),"Bachmann, K. and E.L. Rheinsmith (1973). Nuclear DNA amounts in Pacific Crustacea. Chromosoma 43: 225-236.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Acartiidae,Acartia hudsonica,Calanoid copepod,0.97,,FD,SQ,GD,"White, M.M. and I.A. McLaren (2000). Copepod development rates in relation to genome size and 18S rDNA copy number. Genome 43: 750-755.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus finmarchicus,Calanoid copepod,2.74,,FCM,WB,GD,"Leinaas, H.P., M. Jalal, T.M. Gabrielsen, and D.O. Hessen (2016). Inter- and intraspecific variation in body- and genome size in calanoid copepods from temperate and arctic waters. Ecology and Evolution 6: 5585-5595.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus finmarchicus,Calanoid copepod,6.48,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus glacialis,Calanoid copepod,5.22,,FCM,WB,GD,"Leinaas, H.P., M. Jalal, T.M. Gabrielsen, and D.O. Hessen (2016). Inter- and intraspecific variation in body- and genome size in calanoid copepods from temperate and arctic waters. Ecology and Evolution 6: 5585-5595.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus glacialis,Calanoid copepod,9.30-11.18,,FD,SQ,GD,"Escribano, R., I.A. McLaren, and W.C.M. Klein Breteler (1992). Innate and acquired variation of nuclear DNA contents of marine copepods. Genome 35: 602-610.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus glacialis,Calanoid copepod,12.10,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus helgolandicus,Calanoid copepod,10.17,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus hyperboreus,Calanoid copepod,5.51,,FCM,WB,GD,"Leinaas, H.P., M. Jalal, T.M. Gabrielsen, and D.O. Hessen (2016). Inter- and intraspecific variation in body- and genome size in calanoid copepods from temperate and arctic waters. Ecology and Evolution 6: 5585-5595.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus hyperboreus,Calanoid copepod,12.46,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus marshallae,Calanoid copepod,10.74,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus pacificus,Calanoid copepod,6.81,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Calanidae,Calanus sinicus,Calanoid copepod,8.53,,FD,SQ,GD,"McLaren, I.A., J.-M. Sﾃｩvigny, and C.J. Corkett (1988). Body size, development rates, and genome sizes among Calanus species. Hydrobiologia 167/168: 275-284.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Centropagidae,Limnocalanus macrurus,Calanoid copepod,1.63,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Centropagidae,Osphranticum labronectum,Calanoid copepod,2.45,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Diaptomus forbesii,Calanoid copepod,3.81,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Diaptomus insularis,Calanoid copepod,1.91,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Diaptomus leptopus,Calanoid copepod,2.77,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Diaptomus nudus,Calanoid copepod,3.33,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Diaptomus sicilis,Calanoid copepod,1.77,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Hesperodiaptomus arcticus,Calanoid copepod,4.67,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Hesperodiaptomus nevadensis,Calanoid copepod,5.71,,FD,EP,V,"Gregory, T.R., P.D.N. Hebert, and J. Kolasa (2000). Evolutionary implications of the relationship between genome size and body size in flatworms and copepods. Heredity 84: 201-208.",,
Arthropoda,Crustacea,Copepoda,Calanoida,Clausocalanidae,Hesperodiaptomus novemdecimus,Calanoid copepod,3.23,,FD,EP,V,P.D.N. Hebert. Unpublished Data,,
